UIK,voters,voted_mobile,voted_stationary,Turnout,Video
554,588,62,311,0.634353741496599,1
555,199,15,136,0.758793969849246,0
556,38,2,27,0.763157894736842,0
557,122,2,93,0.778688524590164,0
558,154,16,130,0.948051948051948,0
559,222,24,125,0.671171171171171,0
560,458,37,311,0.759825327510917,0
561,425,91,219,0.729411764705882,1
562,78,8,60,0.871794871794872,0
563,882,121,413,0.605442176870748,0
564,230,28,153,0.78695652173913,0
565,914,133,481,0.671772428884026,0
566,364,26,306,0.912087912087912,0
567,166,18,126,0.867469879518072,0
568,181,23,149,0.950276243093923,0
569,464,36,304,0.732758620689655,0
570,782,29,376,0.517902813299233,1
571,59,3,46,0.830508474576271,0
572,476,47,308,0.745798319327731,0
573,568,62,326,0.683098591549296,0
574,477,90,262,0.737945492662474,0
575,146,7,105,0.767123287671233,0
576,76,6,55,0.802631578947368,0
577,443,25,269,0.663656884875847,0
578,223,32,140,0.771300448430493,0
579,604,42,337,0.627483443708609,0
580,66,6,45,0.772727272727273,0
581,602,54,328,0.634551495016611,0
582,329,36,270,0.930091185410334,0
583,311,21,160,0.581993569131833,0
584,409,31,250,0.687041564792176,0
585,513,47,325,0.725146198830409,0
586,476,36,302,0.710084033613445,0
587,433,34,321,0.81986143187067,0
1,1217,57,389,0.366474938373048,1
2,568,29,249,0.48943661971831,0
3,1312,38,326,0.277439024390244,1
4,1425,17,380,0.27859649122807,1
5,1434,50,368,0.291492329149233,1
6,1520,49,441,0.322368421052632,1
7,1301,54,465,0.398923904688701,1
8,1321,34,426,0.348221044663134,1
9,1412,46,604,0.460339943342776,1
10,1521,27,441,0.307692307692308,1
11,2541,82,943,0.403384494293585,1
12,756,21,197,0.288359788359788,0
13,2732,64,1414,0.54099560761347,1
14,2378,27,792,0.344407064760303,1
1901,71,30,38,0.957746478873239,0
592,396,15,121,0.343434343434343,0
593,1520,55,426,0.316447368421053,1
594,1220,35,407,0.362295081967213,1
595,2251,84,834,0.407818747223456,1
596,1977,88,722,0.409711684370258,1
597,1167,45,269,0.269065981148243,1
598,606,180,187,0.605610561056106,0
599,1429,103,422,0.36738978306508,0
600,1658,161,454,0.370928829915561,1
601,774,38,321,0.463824289405685,0
602,1145,66,550,0.537991266375546,1
603,381,14,146,0.41994750656168,0
604,1583,61,477,0.339861023373342,1
605,206,1,53,0.262135922330097,0
606,187,7,107,0.609625668449198,0
607,291,15,90,0.360824742268041,0
608,198,48,115,0.823232323232323,0
609,152,12,51,0.414473684210526,0
610,187,36,124,0.855614973262032,0
611,829,24,229,0.30518697225573,0
612,672,127,252,0.563988095238095,0
613,225,32,125,0.697777777777778,0
614,241,23,192,0.892116182572614,0
616,860,37,344,0.443023255813953,1
617,1720,92,552,0.374418604651163,1
618,1281,69,406,0.37080405932865,0
619,417,25,126,0.3621103117506,0
620,250,12,110,0.488,0
621,220,8,95,0.468181818181818,0
622,611,30,206,0.386252045826514,0
623,724,94,352,0.616022099447514,0
624,143,11,93,0.727272727272727,0
625,542,67,282,0.643911439114391,0
626,282,38,85,0.436170212765957,0
627,508,39,215,0.5,0
628,751,52,248,0.399467376830892,0
16,2133,34,578,0.286919831223629,1
17,1977,24,832,0.432979261507334,1
18,1634,10,628,0.390452876376989,1
19,2185,22,849,0.39862700228833,1
20,1954,33,744,0.397645854657114,1
21,1607,48,533,0.361543248288737,1
22,1855,41,804,0.455525606469003,1
23,1034,24,530,0.5357833655706,0
24,2434,63,969,0.423993426458505,1
25,2122,32,785,0.385014137606032,1
26,1941,48,693,0.381761978361669,1
27,2200,56,707,0.346818181818182,1
28,1373,37,401,0.319009468317553,1
29,1959,37,717,0.384890250127616,1
30,2659,56,669,0.272658894321173,1
31,2515,94,893,0.392445328031809,1
32,1439,52,366,0.290479499652536,1
33,1683,28,519,0.325014854426619,1
34,2361,31,877,0.384582803896654,1
35,1808,41,431,0.261061946902655,1
36,2576,58,624,0.264751552795031,1
37,1983,37,532,0.286938981341402,1
38,1822,51,537,0.322722283205269,1
39,1854,19,424,0.238942826321467,1
40,1914,184,515,0.365203761755486,1
41,1841,40,538,0.313959804454101,1
42,1808,88,455,0.30033185840708,1
43,1369,33,367,0.29218407596786,1
44,1542,22,486,0.329442282749676,1
45,2306,45,769,0.352992194275802,1
46,2143,53,650,0.328044797013532,1
47,1834,72,515,0.320065430752454,1
48,1829,43,581,0.34117003827228,1
49,1508,39,422,0.305702917771883,1
50,1760,110,534,0.365909090909091,1
51,1751,45,549,0.33923472301542,1
52,2573,23,722,0.289545277885736,1
53,2467,52,522,0.232671260640454,1
54,1971,37,467,0.255707762557078,1
55,1992,46,590,0.319277108433735,1
56,2467,35,712,0.302796919335225,1
57,2469,73,742,0.330093155123532,1
58,2560,45,583,0.2453125,1
59,2158,20,697,0.332252085264133,1
60,2158,22,671,0.321130676552363,1
61,2521,13,776,0.312971043236811,1
62,1734,11,480,0.28316032295271,1
63,2022,12,523,0.264589515331355,1
64,789,1,248,0.315589353612167,0
65,606,12,239,0.414191419141914,0
66,2113,20,579,0.283483199242783,1
67,1840,25,544,0.309239130434783,1
68,2634,13,816,0.314730447987851,1
69,1889,24,468,0.260455267337215,1
70,2718,56,638,0.255334805003679,0
71,2748,30,753,0.284934497816594,1
72,2784,26,696,0.25933908045977,1
73,2420,14,664,0.280165289256198,1
74,2236,29,601,0.28175313059034,1
75,2425,51,676,0.29979381443299,1
76,1055,25,359,0.363981042654028,1
77,2621,16,756,0.294544067149943,1
78,2206,26,772,0.361740707162285,1
79,2340,25,754,0.332905982905983,1
80,2266,8,699,0.312003530450132,1
81,2481,20,842,0.347440548166062,1
82,2649,10,717,0.274443186107965,1
83,1140,3,288,0.255263157894737,1
84,1944,10,399,0.210390946502058,1
85,2412,9,522,0.220149253731343,1
86,1293,13,308,0.248259860788863,1
87,855,3,267,0.315789473684211,1
88,2256,11,702,0.31604609929078,1
89,2237,31,709,0.330800178810907,1
90,2271,18,710,0.320563628357552,1
91,1726,14,604,0.358053302433372,1
92,1792,10,446,0.254464285714286,1
93,2086,14,652,0.319271332694151,1
94,1818,15,528,0.298679867986799,1
95,2344,22,772,0.338737201365188,1
96,2311,32,735,0.331890956295976,1
97,2459,12,805,0.332248881659211,1
98,1964,17,607,0.317718940936864,1
99,2059,10,719,0.354055366682856,1
100,2024,39,651,0.340909090909091,1
101,1992,8,591,0.30070281124498,1
102,2529,11,721,0.28944246737841,1
103,2829,9,920,0.328384588193708,0
104,2720,5,951,0.351470588235294,0
105,1871,6,687,0.370390165686799,0
106,2466,3,832,0.33860502838605,0
107,2433,18,694,0.292642827784628,0
108,2098,30,713,0.354146806482364,0
109,2080,33,558,0.284134615384615,0
110,2233,35,701,0.329601433049709,0
111,1841,20,449,0.254752851711027,0
112,2294,49,625,0.293809938971229,1
113,2059,29,608,0.309373482272948,1
114,555,5,167,0.30990990990991,0
115,2412,34,738,0.320066334991708,1
116,2470,33,816,0.343724696356275,1
117,1674,21,540,0.335125448028674,1
118,1221,26,444,0.384930384930385,1
119,2360,43,732,0.328389830508475,1
120,2319,27,730,0.326433807675722,1
121,1881,11,585,0.316852737905369,1
122,1834,19,650,0.364776444929117,1
123,1979,16,597,0.309752400202122,1
124,1693,16,556,0.337861783815712,1
125,1894,9,596,0.319429778247096,1
126,2032,5,792,0.392224409448819,1
127,871,2,307,0.354764638346728,1
128,2313,14,799,0.351491569390402,1
129,2339,11,812,0.351859769132108,1
130,1978,5,669,0.340748230535895,1
131,2129,7,633,0.300610615312353,1
132,1926,18,661,0.352544132917965,1
133,2237,14,730,0.332588287885561,1
134,2090,6,693,0.33444976076555,1
135,1785,9,593,0.337254901960784,1
136,2277,28,655,0.299956082564778,1
137,2150,54,612,0.309767441860465,1
1903,224,0,221,0.986607142857143,0
140,2079,34,588,0.299182299182299,1
141,2493,47,774,0.329322101885279,1
142,2351,26,790,0.347086346235644,1
143,2328,30,709,0.317439862542955,1
144,2355,14,755,0.326539278131635,1
145,2252,16,737,0.33436944937833,1
146,2091,22,759,0.37350549976088,1
147,1943,39,602,0.329902213072568,1
148,2088,17,704,0.345306513409962,1
149,1972,21,616,0.323022312373225,1
150,2110,28,624,0.309004739336493,1
151,2041,11,656,0.326800587947085,1
152,1974,34,614,0.328267477203647,1
153,2014,35,708,0.368917576961271,1
154,2455,41,771,0.330753564154786,1
155,2275,34,643,0.297582417582418,1
156,2290,36,752,0.34410480349345,1
157,2223,29,621,0.292397660818713,1
158,2472,36,719,0.30542071197411,1
159,2544,22,685,0.277908805031447,1
160,2543,30,742,0.30357845064884,1
161,2017,28,526,0.274665344571145,1
162,1934,25,600,0.323164426059979,1
163,2219,29,587,0.277602523659306,1
164,2022,17,619,0.314540059347181,1
165,1969,18,598,0.312849162011173,1
166,1885,30,502,0.282228116710875,1
167,2154,28,648,0.313834726090993,1
168,2280,24,478,0.220175438596491,1
169,2471,24,740,0.309186564144071,1
170,2551,46,727,0.303018424147393,1
171,2516,31,700,0.290540540540541,1
172,2489,39,780,0.329047810365609,1
173,1847,20,566,0.317271250676773,1
