UIK,voters,voted mobile,voted stationary,Turnout,Video
1,1963,78,1048,0.573611818644931,1
2,2018,121,1445,0.77601585728444,1
3,1869,80,1062,0.611021936864633,0
4,1865,89,984,0.575335120643432,1
5,1870,72,1242,0.702673796791444,0
6,2063,62,1286,0.65341735336888,1
7,2384,163,1504,0.699244966442953,1
8,2491,119,1463,0.635086310718587,1
9,1746,109,1012,0.642038946162658,1
10,1639,96,913,0.61561928004881,1
11,2309,0,1270,0.550021654395842,0
12,1870,91,1089,0.631016042780749,1
13,1447,56,903,0.662750518313753,1
14,2051,55,1098,0.562164797659678,1
15,2349,100,1160,0.53639846743295,1
16,1872,49,1017,0.569444444444444,1
17,1965,53,1013,0.542493638676845,1
18,2143,32,1300,0.621558562762482,1
19,1873,6,1259,0.675387079551522,0
20,1453,31,805,0.575361321403992,0
21,1382,61,755,0.590448625180897,1
22,1653,101,894,0.601935874168179,1
23,1502,104,759,0.5745672436751,1
24,1491,104,745,0.569416498993964,1
25,2405,51,1517,0.651975051975052,1
26,2422,92,1429,0.627993393889348,1
27,2405,132,1217,0.560914760914761,1
28,2378,112,1428,0.647603027754415,1
29,2350,150,1213,0.58,1
30,2305,101,1274,0.596529284164859,1
31,2348,99,1359,0.620954003407155,1
32,2370,58,1286,0.567088607594937,1
33,1709,63,976,0.607957870099473,1
34,1596,74,971,0.654761904761905,1
35,2104,103,1350,0.690589353612167,1
36,1836,103,1069,0.638344226579521,1
37,1248,78,701,0.624198717948718,1
38,1550,76,919,0.641935483870968,1
40,1263,54,733,0.623119556611243,1
43,2147,55,1173,0.571960875640429,0
49,1544,66,801,0.561528497409326,1
52,2466,106,1884,0.806974858069749,0
53,2105,155,874,0.488836104513064,1
54,1369,114,684,0.58290723155588,1
55,1280,62,698,0.59375,1
56,2497,80,2009,0.836603924709652,0
57,2203,130,1626,0.797094870630958,0
58,2092,49,1706,0.838910133843212,0
59,2353,32,1846,0.798130046748831,0
60,2339,57,1987,0.873877725523728,0
61,2210,33,1706,0.786877828054299,0
62,2205,102,1344,0.65578231292517,0
63,586,4,406,0.699658703071672,0
64,2200,0,1409,0.640454545454545,0
76,1795,0,1087,0.605571030640669,0
77,1897,2,1359,0.717448603057459,1
78,1693,19,1546,0.924394565859421,0
79,2120,230,1018,0.588679245283019,1
81,1933,83,1108,0.616140713916192,1
82,1501,5,945,0.632911392405063,1
83,1540,44,736,0.506493506493506,1
84,1628,34,740,0.475429975429975,1
85,1761,0,908,0.515616127200454,1
86,1694,66,990,0.623376623376623,0
88,2389,210,1345,0.650899958141482,1
649,1528,0,832,0.544502617801047,0
650,1441,0,738,0.512144344205413,0
659,2085,99,1192,0.619184652278177,1
1736,1531,34,1187,0.797517962116264,0
1737,1541,0,755,0.489941596365996,1
1739,2240,68,1561,0.727232142857143,0
3570,1828,12,1086,0.600656455142232,1
3571,1736,1,1009,0.581797235023041,1
3572,1291,166,585,0.581719597211464,1
3583,1657,18,619,0.384429692214846,1
3584,1398,11,663,0.482117310443491,1
3662,2059,78,1110,0.576979116075765,1
3663,1510,94,843,0.620529801324503,1
3664,1352,73,1068,0.843934911242604,0
3665,1710,73,869,0.550877192982456,1
3666,1619,86,855,0.581222977146387,1
3667,1255,106,724,0.661354581673307,1
3668,1512,50,867,0.606481481481482,1
3669,1367,0,799,0.584491587417703,0
3670,1235,53,632,0.554655870445344,1
3674,1465,35,665,0.477815699658703,1
3675,1458,0,897,0.61522633744856,1
3676,1602,109,693,0.500624219725343,1
4230,420,228,189,0.992857142857143,0
39,1832,103,1059,0.634279475982533,1
41,1467,85,822,0.61826857532379,1
42,1845,128,1004,0.613550135501355,1
44,1844,2,1213,0.658893709327549,1
45,1429,1,893,0.625612316305108,1
46,1577,79,938,0.644895370957514,1
47,1707,77,1119,0.700644405389572,1
48,1691,102,1020,0.663512714370195,1
50,2042,132,1434,0.766895200783546,0
51,2421,7,844,0.351507641470467,0
65,2077,0,614,0.2956186807896,0
66,2237,3,476,0.214126061689763,1
67,2114,33,905,0.443708609271523,0
68,2498,83,748,0.332666132906325,0
69,1539,55,707,0.495126705653021,1
70,2361,140,872,0.4286319356205,0
71,1758,74,1143,0.69226393629124,1
72,2216,131,1232,0.615072202166065,0
73,2411,80,1070,0.476980506014102,1
74,2016,107,840,0.469742063492063,1
75,1178,65,342,0.345500848896435,1
80,2546,93,972,0.418303220738413,0
87,1355,70,849,0.678228782287823,1
551,1350,42,296,0.25037037037037,1
552,1928,141,1013,0.598547717842324,1
553,1872,81,736,0.436431623931624,1
554,1375,62,755,0.594181818181818,1
555,1892,78,521,0.316596194503171,1
556,1530,99,724,0.537908496732026,1
557,1558,96,922,0.653401797175867,1
558,1705,68,820,0.520821114369502,1
559,1798,68,929,0.554505005561735,1
560,1819,77,974,0.577789994502474,1
561,1811,72,1022,0.604086140254003,1
562,1791,72,951,0.571189279731993,1
563,1553,86,535,0.399871216999356,1
564,1602,82,559,0.400124843945069,1
565,1520,113,536,0.426973684210526,1
566,1112,130,494,0.561151079136691,1
567,1106,95,516,0.55244122965642,1
568,1820,75,656,0.401648351648352,1
569,1949,99,711,0.415597742432016,1
570,1523,89,530,0.406434668417597,1
571,1630,66,808,0.536196319018405,1
572,2150,101,871,0.452093023255814,1
573,2391,113,823,0.391468005018821,1
574,1581,97,706,0.507906388361796,1
575,1718,75,911,0.573923166472643,1
576,1548,150,716,0.559431524547804,1
577,2725,129,888,0.373211009174312,1
578,1447,63,551,0.424326192121631,1
579,2118,74,979,0.497167138810198,1
580,1830,95,920,0.554644808743169,1
581,1845,128,719,0.459078590785908,1
582,2307,141,1071,0.525357607282185,1
583,1665,68,827,0.537537537537538,1
584,1675,67,794,0.514029850746269,1
585,1791,54,809,0.481853713009492,1
586,1529,64,604,0.436886854153041,1
587,1610,116,721,0.519875776397515,1
588,1736,154,717,0.501728110599078,1
589,2518,6,726,0.290706910246227,1
590,1599,121,736,0.535959974984365,1
591,1841,103,640,0.403585008147746,1
592,1906,206,706,0.478488982161595,1
593,2193,117,850,0.440948472412221,1
594,1840,78,659,0.40054347826087,1
595,2136,206,656,0.403558052434457,1
596,2150,85,617,0.326511627906977,1
597,2481,96,836,0.37565497783152,1
598,2003,110,706,0.407388916625062,1
599,1987,101,702,0.404126824358329,1
600,1980,86,672,0.382828282828283,1
601,1902,243,668,0.478969505783386,1
602,1489,81,532,0.411685695097381,1
603,1645,90,803,0.542857142857143,1
604,2059,221,831,0.510927634774162,1
605,2073,132,1187,0.636275928605885,1
606,2059,104,926,0.500242836328315,1
607,1642,94,916,0.61510353227771,1
608,376,16,172,0.5,0
1738,1635,37,963,0.611620795107034,0
3671,1830,111,1006,0.610382513661202,1
3672,1390,7,888,0.643884892086331,1
3673,1702,75,1048,0.659811985898942,1
3677,1478,25,618,0.435047361299053,1
3678,1480,84,789,0.589864864864865,1
3679,1747,93,636,0.41728677733257,1
3680,1002,50,427,0.476047904191617,1
3681,2255,86,1201,0.570731707317073,0
3682,1530,94,649,0.48562091503268,1
3683,1665,110,684,0.476876876876877,1
4228,145,63,82,1,0
4229,691,35,483,0.749638205499276,0
89,1655,179,512,0.417522658610272,1
90,1378,70,493,0.408563134978229,1
91,1326,84,499,0.439668174962293,1
92,1070,20,428,0.418691588785047,0
93,2062,109,688,0.386517943743938,1
94,1955,36,742,0.397953964194373,0
95,2070,31,768,0.385990338164251,1
96,2167,74,711,0.362251961236733,1
97,967,11,407,0.432264736297828,0
212,2479,0,838,0.338039532069383,1
213,1923,8,559,0.294851794071763,0
214,1977,1,747,0.378351036924633,0
215,2175,15,692,0.325057471264368,1
216,1899,2,522,0.275934702474987,0
217,1957,9,501,0.26060296371998,1
218,2007,4,991,0.495764823119083,0
219,1784,10,425,0.243834080717489,0
220,2099,7,526,0.253930443068128,0
98,848,10,243,0.298349056603774,0
99,2265,2,614,0.2719646799117,1
100,1294,2,323,0.251159196290572,0
